UsgsGaugeId,RiverName
4045500,Tahquamenon
4040500,Tioga
5316500,Beaver Creek
5132000,Big Fork
4015330,Big Sucker Creek
5355200,Cannon
5313500,Hawk Creek
5336700,Kettle
4015330,Knife
4015330,Lester
5131500,Little Fork
5336700,Lower Tamarack
5270700,Mississippi
4010500,Pigeon
5315000,Redwood
5316500,Redwood
5345000,Sand Creek
5270500,Sauk
5338500,Snake
5333500,St. Croix
5340500,St. Croix
4015438,St. Louis
4024000,St. Louis
5129115,Vermilion
5345000,Vermillion (Hastings)
5063398,"Wild Rice, S.Br."
5313500,Yellow Medicine
7037300,Big Creek
7061270,"Black, East Fork"
6893080,Blue
7035000,Castor
7061270,Crane Pond Creek
7071500,Eleven Point
7052820,Flat Creek
7061270,Little Rock Creek
7035000,Little St. Francis
7061270,Lower Rock Creek
6935965,Missouri
7035000,Mud Creek
7057500,North Fork (White River)
5501000,North
7035000,Pickle Creek
5500000,South Fabius
7035000,Stouts Creek
7061270,Stouts Creek
7035000,Turkey Creek
2475500,Chunky
2472850,Okatoma Creek
6016000,Beaverhead
6026210,Big Hole
12335100,Blackfoot
12340000,Blackfoot
6033000,Boulder (Jefferson R. tributary)
6200000,"Boulder, West"
6200000,Boulder
12353000,Clark Fork
12354500,Clark Fork
6207500,Clarks Fork Yellowstone
6073500,Dearborn
12377150,Elk Creek (Swan Trib)
6073500,Falls Creek (Dearborn Trib)
12390700,Fish Creek
12358500,"Flathead, Middle Fork"
12355500,"Flathead, North Fork"
12359800,"Flathead, South Fork"
12330000,Flint Creek
6043500,Gallatin
6114700,Judith
12344000,Kootenai Creek
12301933,Kootenai
6038500,Madison
6041000,Madison
12390700,Prospect Creek
6209500,Rock Creek (Carbon County)
12334510,Rock Creek (Missoula County)
6204070,"Rosebud Creek, West"
6077200,Smith
6205000,Stillwater
12377150,Swan River
12370000,Swan
6102500,Teton River (North Fork)
6102500,"Teton River, North Fork"
12389500,Thompson River
12390700,Trout Creek
6091700,"Two Medicine, South Fork"
6091700,Two Medicine
12304500,Yaak
6191500,Yellowstone
6214500,Yellowstone
3550000,Alarka Creek
2113850,Ararat
2068500,Big Creek (Stokes Co.)
3512000,Big Creek
3453000,Big Laurel Creek
3479000,Boone Fork
2151500,Broad
3453000,Brush Creek
2102192,Buckhorn Creek
209553650,Buffalo Creek (Guilford Co.)
2111180,Buffalo Creek
2102500,Cape Fear
3500240,Cartoogechaye
3460000,Cataloochee Creek
2137727,Catawba
2138520,Catawba
351706800,Cheoah
208726005,Crabtree Creek (Umstead State Park)
2068500,Dan
2071000,Dan
3441000,Davidson
2100500,Deep
2102000,Deep
2111180,Elk Creek
3479000,Elk
2085000,Eno
2085070,Eno
3504000,Fires Creek
2152100,First Broad
2085500,Flat
3439000,"French Broad, North Fork"
3439000,"French Broad, West Fork"
3451500,French Broad
3453500,French Broad
2096960,Haw
3455500,Hominy Creek
2140991,Johns
3460000,Jonathans Creek
2138500,Linville
2102908,Little (Cape Fear trib)
208521324,Little (Eno trib)
3441000,Little (Fr.Broad trib)
2081500,Little Fishing Creek
3503000,Little Tennessee
3441000,Looking Glass Creek
2070500,"Mayo, N. Fork"
2069700,"Mayo, S. Fork"
3504000,Nantahala
3505550,Nantahala
2087183,Neuse
2096846,New Hope Creek
3161000,"New, S. Fork"
3164000,New
3465500,Nolichucky
3441000,North Pacolet
3463300,North Toe
3512000,Oconaluftee
3456500,"Pigeon, Big East Fork"
3456500,"Pigeon, East Fork"
3455500,"Pigeon, West Fork"
3459500,Pigeon
3460795,Pigeon
3512000,Raven Fork
2111500,Reddies
2094500,Reedy Fork Creek
