UsgsGaugeId,RiverSection
04040500,Sturgeon (Baraga)
04127997,Sturgeon (Cheboygan)
04065650,Sturgeon (Dickinson)
04040500,"Sturgeon, W.Br. (Houghton)"
04045500,Tahquamenon
04040500,Tioga
05316500,Beaver Creek
05132000,Big Fork
04015330,Big Sucker Creek
05355200,Cannon
05313500,Hawk Creek
05336700,Kettle
04015330,Knife
04015330,Lester
05131500,Little Fork
05336700,Lower Tamarack
05270700,Mississippi
04010500,Pigeon
05315000,Redwood
05316500,Redwood
05345000,Sand Creek
05270500,Sauk
05338500,Snake
05333500,St. Croix
05340500,St. Croix
04015438,St. Louis
04024000,St. Louis
05129115,Vermilion
05345000,Vermillion (Hastings)
05063398,"Wild Rice, S.Br."
05313500,Yellow Medicine
07037300,Big Creek
07061270,"Black, East Fork"
06893080,Blue
07035000,Castor
07061270,Crane Pond Creek
07071500,Eleven Point
07052820,Flat Creek
07061270,Little Rock Creek
07035000,Little St. Francis
07061270,Lower Rock Creek
06935965,Missouri
07035000,Mud Creek
07057500,North Fork (White River)
05501000,North
07035000,Pickle Creek
05500000,South Fabius
07035000,Stouts Creek
07061270,Stouts Creek
07035000,Turkey Creek
02475500,Chunky
02472850,Okatoma Creek
06016000,Beaverhead
06026210,Big Hole
12335100,Blackfoot
12340000,Blackfoot
06033000,Boulder (Jefferson R. tributary)
06200000,"Boulder, West"
06200000,Boulder
12353000,Clark Fork
12354500,Clark Fork
06207500,Clarks Fork Yellowstone
06073500,Dearborn
12377150,Elk Creek (Swan Trib)
06073500,Falls Creek (Dearborn Trib)
12390700,Fish Creek
12358500,"Flathead, Middle Fork"
12355500,"Flathead, North Fork"
12359800,"Flathead, South Fork"
12330000,Flint Creek
06043500,Gallatin
06114700,Judith
12344000,Kootenai Creek
12301933,Kootenai
06038500,Madison
06041000,Madison
12390700,Prospect Creek
06209500,Rock Creek (Carbon County)
12334510,Rock Creek (Missoula County)
06204070,"Rosebud Creek, West"
06077200,Smith
06205000,Stillwater
12377150,Swan River
12370000,Swan
06102500,Teton River (North Fork)
06102500,"Teton River, North Fork"
12389500,Thompson River
12390700,Trout Creek
06091700,"Two Medicine, South Fork"
06091700,Two Medicine
